iteracion,fitness,gbestx,gbesty,puntos,inercia,C1,C2,evals,evals to best,tiempo_al_mejor
118,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,11900,8984,2.018
119,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12000,8984,2.018
120,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12100,8984,2.018
121,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12200,8984,2.018
122,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12300,8984,2.018
123,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12400,8984,2.018
124,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12500,8984,2.018
125,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12600,8984,2.018
126,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12700,8984,2.018
127,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12800,8984,2.018
128,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,12900,8984,2.018
129,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13000,8984,2.018
130,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13100,8984,2.018
131,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13200,8984,2.018
132,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13300,8984,2.018
133,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13400,8984,2.018
134,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13500,8984,2.018
135,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13600,8984,2.018
136,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13700,8984,2.018
137,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13800,8984,2.018
138,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,13900,8984,2.018
139,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14000,8984,2.018
140,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14100,8984,2.018
141,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14200,8984,2.018
142,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14300,8984,2.018
143,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14400,8984,2.018
144,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14500,8984,2.018
145,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14600,8984,2.018
146,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14700,8984,2.018
147,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14800,8984,2.018
148,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,14900,8984,2.018
149,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,15000,8984,2.018
150,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,15100,8984,2.018
151,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,15200,8984,2.018
152,0.026852608,308.17487,153.94252,100,3000.0,30.0,10.0,15300,8984,2.018
