iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
122,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12300,6425,1.073
123,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12400,6425,1.073
124,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12500,6425,1.073
125,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12600,6425,1.073
126,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12700,6425,1.073
127,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12800,6425,1.073
128,0.19107628,309.31076,154.78952,100,0.1,55.0,3,12900,6425,1.073
129,0.19107628,309.31076,154.78952,100,0.1,55.0,3,13000,6425,1.073
130,0.19107628,309.31076,154.78952,100,0.1,55.0,3,13100,6425,1.073
131,0.19107628,309.31076,154.78952,100,0.1,55.0,3,13200,6425,1.073
132,0.19107628,309.31076,154.78952,100,0.1,55.0,3,13300,6425,1.073
133,0.19107628,309.31076,154.78952,100,0.1,55.0,3,13400,6425,1.073
134,0.10472107,304.9478,153.943,100,0.1,55.0,3,13500,13426,2.262
135,0.10472107,304.9478,153.943,100,0.1,55.0,3,13600,13426,2.262
136,0.10472107,304.9478,153.943,100,0.1,55.0,3,13700,13426,2.262
137,0.10472107,304.9478,153.943,100,0.1,55.0,3,13800,13426,2.262
138,0.100195885,305.57062,152.78679,100,0.1,55.0,3,13900,13892,2.327
139,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14000,13934,2.346
140,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14100,13934,2.346
141,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14200,13934,2.346
142,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14300,13934,2.346
143,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14400,13934,2.346
144,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14500,13934,2.346
145,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14600,13934,2.346
146,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14700,13934,2.346
147,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14800,13934,2.346
148,0.07536411,305.25922,153.3649,100,0.1,55.0,3,14900,13934,2.346
149,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15000,13934,2.346
150,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15100,13934,2.346
151,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15200,13934,2.346
152,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15300,13934,2.346
153,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15400,13934,2.346
154,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15500,13934,2.346
155,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15600,13934,2.346
156,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15700,13934,2.346
157,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15800,13934,2.346
158,0.07536411,305.25922,153.3649,100,0.1,55.0,3,15900,13934,2.346
159,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16000,13934,2.346
160,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16100,13934,2.346
161,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16200,13934,2.346
162,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16300,13934,2.346
163,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16400,13934,2.346
164,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16500,13934,2.346
165,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16600,13934,2.346
166,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16700,13934,2.346
167,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16800,13934,2.346
168,0.07536411,305.25922,153.3649,100,0.1,55.0,3,16900,13934,2.346
169,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17000,13934,2.346
170,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17100,13934,2.346
171,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17200,13934,2.346
172,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17300,13934,2.346
173,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17400,13934,2.346
174,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17500,13934,2.346
175,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17600,13934,2.346
176,0.07536411,305.25922,153.3649,100,0.1,55.0,3,17700,13934,2.346
