iteracion,semilla,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
204,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20600,2842,0.615
205,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20700,2842,0.615
206,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20800,2842,0.615
207,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,20900,2842,0.615
208,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21000,2842,0.615
209,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21100,2842,0.615
210,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21200,2842,0.615
211,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21300,2842,0.615
212,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21400,2842,0.615
213,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21500,2842,0.615
214,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21600,2842,0.615
215,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21700,2842,0.615
216,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21800,2842,0.615
217,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,21900,2842,0.615
218,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22000,2842,0.615
219,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22100,2842,0.615
220,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22200,2842,0.615
221,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22300,2842,0.615
222,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22400,2842,0.615
223,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22500,2842,0.615
224,1774274399169,0.055725098,307.8821,154.38773,100,0.1,55.0,3,22600,2842,0.615
225,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,22700,22697,4.68
226,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,22800,22697,4.68
227,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,22900,22697,4.68
228,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23000,22697,4.68
229,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23100,22697,4.68
230,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23200,22697,4.68
231,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23300,22697,4.68
232,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23400,22697,4.68
233,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23500,22697,4.68
234,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23600,22697,4.68
235,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23700,22697,4.68
236,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23800,22697,4.68
237,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,23900,22697,4.68
238,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24000,22697,4.68
239,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24100,22697,4.68
240,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24200,22697,4.68
241,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24300,22697,4.68
242,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24400,22697,4.68
243,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24500,22697,4.68
244,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24600,22697,4.68
245,1774274399169,0.023262024,306.2665,153.89932,100,0.1,55.0,3,24700,22697,4.68
246,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,24800,24755,5.08
247,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,24900,24755,5.08
248,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25000,24755,5.08
249,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25100,24755,5.08
250,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25200,24755,5.08
251,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25300,24755,5.08
252,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25400,24755,5.08
253,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25500,24755,5.08
254,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25600,24755,5.08
255,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25700,24755,5.08
256,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25800,24755,5.08
257,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,25900,24755,5.08
258,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26000,24755,5.08
259,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26100,24755,5.08
260,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26200,24755,5.08
261,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26300,24755,5.08
262,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26400,24755,5.08
263,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26500,24755,5.08
264,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26600,24755,5.08
265,1774274399169,0.007762909,307.42603,153.30031,100,0.1,55.0,3,26700,24755,5.08
