iteracion,semilla,fitness,fitness_promedio,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
84,1775340378937,0.0,0.005720711,307.1972,153.60075,100,0.0497931,1.9925495,5,8600,1940,0.927
85,1775340378937,0.0,0.010044403,307.1972,153.60075,100,0.0497931,1.9925495,5,8700,1940,0.927
86,1775340378937,0.0,0.0054652784,307.1972,153.60075,100,0.0497931,1.9925495,5,8800,1940,0.927
87,1775340378937,0.0,0.0031454563,307.1972,153.60075,100,0.0497931,1.9925495,5,8900,1940,0.927
88,1775340378937,0.0,0.005798731,307.1972,153.60075,100,0.0497931,1.9925495,5,9000,1940,0.927
89,1775340378937,0.0,0.0028120708,307.1972,153.60075,100,0.0497931,1.9925495,5,9100,1940,0.927
90,1775340378937,0.0,0.008837385,307.1972,153.60075,100,0.0497931,1.9925495,5,9200,1940,0.927
91,1775340378937,0.0,0.0049903677,307.1972,153.60075,100,0.0497931,1.9925495,5,9300,1940,0.927
92,1775340378937,0.0,0.009955578,307.1972,153.60075,100,0.0497931,1.9925495,5,9400,1940,0.927
93,1775340378937,0.0,0.003016386,307.1972,153.60075,100,0.0497931,1.9925495,5,9500,1940,0.927
94,1775340378937,0.0,0.0053122328,307.1972,153.60075,100,0.0497931,1.9925495,5,9600,1940,0.927
95,1775340378937,0.0,0.009804096,307.1972,153.60075,100,0.0497931,1.9925495,5,9700,1940,0.927
96,1775340378937,0.0,0.002502365,307.1972,153.60075,100,0.0497931,1.9925495,5,9800,1940,0.927
97,1775340378937,0.0,0.0064026453,307.1972,153.60075,100,0.0497931,1.9925495,5,9900,1940,0.927
98,1775340378937,0.0,0.0045145224,307.1972,153.60075,100,0.0497931,1.9925495,5,10000,1940,0.927
99,1775340378937,0.0,0.0054082107,307.1972,153.60075,100,0.0497931,1.9925495,5,10100,1940,0.927
100,1775340378937,0.0,0.0028296947,307.1972,153.60075,100,0.0497931,1.9925495,5,10200,1940,0.927
101,1775340378937,0.0,0.001427536,307.1972,153.60075,100,0.0497931,1.9925495,5,10300,1940,0.927
102,1775340378937,0.0,0.0,307.1972,153.60075,100,0.0497931,1.9925495,5,10400,1940,0.927
103,1775340378937,0.0,0.0050863936,307.1972,153.60075,100,0.0497931,1.9925495,5,10500,1940,0.927
104,1775340378937,0.0,0.007756729,307.1972,153.60075,100,0.0497931,1.9925495,5,10600,1940,0.927
105,1775340378937,0.0,0.0184274,307.1972,153.60075,100,0.0497931,1.9925495,5,10700,1940,0.927
106,1775340378937,0.0,0.0050814245,307.1972,153.60075,100,0.0497931,1.9925495,5,10800,1940,0.927
107,1775340378937,0.0,0.007138729,307.1972,153.60075,100,0.0497931,1.9925495,5,10900,1940,0.927
108,1775340378937,0.0,0.00910613,307.1972,153.60075,100,0.0497931,1.9925495,5,11000,1940,0.927
109,1775340378937,0.0,0.00847991,307.1972,153.60075,100,0.0497931,1.9925495,5,11100,1940,0.927
110,1775340378937,0.0,0.0053563025,307.1972,153.60075,100,0.0497931,1.9925495,5,11200,1940,0.927
111,1775340378937,0.0,0.014773045,307.1972,153.60075,100,0.0497931,1.9925495,5,11300,1940,0.927
112,1775340378937,0.0,0.0074481773,307.1972,153.60075,100,0.0497931,1.9925495,5,11400,1940,0.927
113,1775340378937,0.0,0.0059633637,307.1972,153.60075,100,0.0497931,1.9925495,5,11500,1940,0.927
114,1775340378937,0.0,0.001932373,307.1972,153.60075,100,0.0497931,1.9925495,5,11600,1940,0.927
115,1775340378937,0.0,0.005627203,307.1972,153.60075,100,0.0497931,1.9925495,5,11700,1940,0.927
116,1775340378937,0.0,0.0051562693,307.1972,153.60075,100,0.0497931,1.9925495,5,11800,1940,0.927
117,1775340378937,0.0,0.01293396,307.1972,153.60075,100,0.0497931,1.9925495,5,11900,1940,0.927
118,1775340378937,0.0,0.0035544587,307.1972,153.60075,100,0.0497931,1.9925495,5,12000,1940,0.927
119,1775340378937,0.0,0.008526402,307.1972,153.60075,100,0.0497931,1.9925495,5,12100,1940,0.927
120,1775340378937,0.0,0.0026337623,307.1972,153.60075,100,0.0497931,1.9925495,5,12200,1940,0.927
121,1775340378937,0.0,0.008850642,307.1972,153.60075,100,0.0497931,1.9925495,5,12300,1940,0.927
122,1775340378937,0.0,0.012918692,307.1972,153.60075,100,0.0497931,1.9925495,5,12400,1940,0.927
123,1775340378937,0.0,0.013473949,307.1972,153.60075,100,0.0497931,1.9925495,5,12500,1940,0.927
124,1775340378937,0.0,0.006218834,307.1972,153.60075,100,0.0497931,1.9925495,5,12600,1940,0.927
125,1775340378937,0.0,0.008971977,307.1972,153.60075,100,0.0497931,1.9925495,5,12700,1940,0.927
126,1775340378937,0.0,0.004983711,307.1972,153.60075,100,0.0497931,1.9925495,5,12800,1940,0.927
127,1775340378937,0.0,0.008241186,307.1972,153.60075,100,0.0497931,1.9925495,5,12900,1940,0.927
128,1775340378937,0.0,0.0051520634,307.1972,153.60075,100,0.0497931,1.9925495,5,13000,1940,0.927
129,1775340378937,0.0,0.005421171,307.1972,153.60075,100,0.0497931,1.9925495,5,13100,1940,0.927
130,1775340378937,0.0,0.006800003,307.1972,153.60075,100,0.0497931,1.9925495,5,13200,1940,0.927
131,1775340378937,0.0,0.004341774,307.1972,153.60075,100,0.0497931,1.9925495,5,13300,1940,0.927
132,1775340378937,0.0,0.0034528351,307.1972,153.60075,100,0.0497931,1.9925495,5,13400,1940,0.927
133,1775340378937,0.0,0.0065458966,307.1972,153.60075,100,0.0497931,1.9925495,5,13500,1940,0.927
134,1775340378937,0.0,0.0068147755,307.1972,153.60075,100,0.0497931,1.9925495,5,13600,1940,0.927
135,1775340378937,0.0,0.008939914,307.1972,153.60075,100,0.0497931,1.9925495,5,13700,1940,0.927
136,1775340378937,0.0,0.00831007,307.1972,153.60075,100,0.0497931,1.9925495,5,13800,1940,0.927
137,1775340378937,0.0,0.0015128803,307.1972,153.60075,100,0.0497931,1.9925495,5,13900,1940,0.927
138,1775340378937,0.0,0.011208591,307.1972,153.60075,100,0.0497931,1.9925495,5,14000,1940,0.927
139,1775340378937,0.0,0.004713936,307.1972,153.60075,100,0.0497931,1.9925495,5,14100,1940,0.927
140,1775340378937,0.0,8.5041043E-4,307.1972,153.60075,100,0.0497931,1.9925495,5,14200,1940,0.927
141,1775340378937,0.0,0.0019784833,307.1972,153.60075,100,0.0497931,1.9925495,5,14300,1940,0.927
142,1775340378937,0.0,0.0017554187,307.1972,153.60075,100,0.0497931,1.9925495,5,14400,1940,0.927
143,1775340378937,0.0,0.0081411265,307.1972,153.60075,100,0.0497931,1.9925495,5,14500,1940,0.927
144,1775340378937,0.0,0.011141433,307.1972,153.60075,100,0.0497931,1.9925495,5,14600,1940,0.927
145,1775340378937,0.0,0.006416998,307.1972,153.60075,100,0.0497931,1.9925495,5,14700,1940,0.927
146,1775340378937,0.0,0.0028243351,307.1972,153.60075,100,0.0497931,1.9925495,5,14800,1940,0.927
147,1775340378937,0.0,0.0055173016,307.1972,153.60075,100,0.0497931,1.9925495,5,14900,1940,0.927
148,1775340378937,0.0,0.007867346,307.1972,153.60075,100,0.0497931,1.9925495,5,15000,1940,0.927
149,1775340378937,0.0,0.0052828505,307.1972,153.60075,100,0.0497931,1.9925495,5,15100,1940,0.927
150,1775340378937,0.0,0.009716635,307.1972,153.60075,100,0.0497931,1.9925495,5,15200,1940,0.927
151,1775340378937,0.0,0.008971262,307.1972,153.60075,100,0.0497931,1.9925495,5,15300,1940,0.927
152,1775340378937,0.0,0.008613787,307.1972,153.60075,100,0.0497931,1.9925495,5,15400,1940,0.927
153,1775340378937,0.0,0.005811663,307.1972,153.60075,100,0.0497931,1.9925495,5,15500,1940,0.927
154,1775340378937,0.0,0.010794144,307.1972,153.60075,100,0.0497931,1.9925495,5,15600,1940,0.927
155,1775340378937,0.0,0.0038867283,307.1972,153.60075,100,0.0497931,1.9925495,5,15700,1940,0.927
156,1775340378937,0.0,0.0042886543,307.1972,153.60075,100,0.0497931,1.9925495,5,15800,1940,0.927
157,1775340378937,0.0,0.014606733,307.1972,153.60075,100,0.0497931,1.9925495,5,15900,1940,0.927
158,1775340378937,0.0,0.0012048149,307.1972,153.60075,100,0.0497931,1.9925495,5,16000,1940,0.927
159,1775340378937,0.0,0.0055496884,307.1972,153.60075,100,0.0497931,1.9925495,5,16100,1940,0.927
160,1775340378937,0.0,0.0077516558,307.1972,153.60075,100,0.0497931,1.9925495,5,16200,1940,0.927
161,1775340378937,0.0,0.0032440186,307.1972,153.60075,100,0.0497931,1.9925495,5,16300,1940,0.927
162,1775340378937,0.0,0.004557524,307.1972,153.60075,100,0.0497931,1.9925495,5,16400,1940,0.927
163,1775340378937,0.0,0.0031150247,307.1972,153.60075,100,0.0497931,1.9925495,5,16500,1940,0.927
164,1775340378937,0.0,6.442642E-4,307.1972,153.60075,100,0.0497931,1.9925495,5,16600,1940,0.927
165,1775340378937,0.0,0.00962409,307.1972,153.60075,100,0.0497931,1.9925495,5,16700,1940,0.927
166,1775340378937,0.0,0.0023159217,307.1972,153.60075,100,0.0497931,1.9925495,5,16800,1940,0.927
167,1775340378937,0.0,0.010933046,307.1972,153.60075,100,0.0497931,1.9925495,5,16900,1940,0.927
168,1775340378937,0.0,0.009019422,307.1972,153.60075,100,0.0497931,1.9925495,5,17000,1940,0.927
