iteracion,fitness,gbestx,gbesty,poblacion,tasa_mutacion,fuerza_mutacion,tam_torneo,evals,evals to best,tiempo_al_mejor
159,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16000,770,0.12
160,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16100,770,0.12
161,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16200,770,0.12
162,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16300,770,0.12
163,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16400,770,0.12
164,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16500,770,0.12
165,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16600,770,0.12
166,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16700,770,0.12
167,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16800,770,0.12
168,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,16900,770,0.12
169,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17000,770,0.12
170,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17100,770,0.12
171,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17200,770,0.12
172,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17300,770,0.12
173,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17400,770,0.12
174,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17500,770,0.12
175,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17600,770,0.12
176,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17700,770,0.12
177,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17800,770,0.12
178,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,17900,770,0.12
179,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18000,770,0.12
180,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18100,770,0.12
181,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18200,770,0.12
182,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18300,770,0.12
183,0.0011110306,307.21298,153.72098,100,0.1,55.0,3,18400,770,0.12
